1,anjali.english@college.edu,pass123,TEACHER
2,arun.aiml@college.edu,pass123,TEACHER
3,divya.cse@college.edu,pass123,TEACHER
4,hari.cse@college.edu,pass123,TEACHER
5,kavya.aids@college.edu,pass123,TEACHER
6,lakshmi.aids@college.edu,pass123,TEACHER
7,manoj.aiml@college.edu,pass123,TEACHER
8,meenakshi.math@college.edu,pass123,TEACHER
9,pradeep.aiml@college.edu,pass123,TEACHER
10,raghavan.cse@college.edu,pass123,TEACHER
11,ram.aids@college.edu,pass123,TEACHER
12,revathi.aiml@college.edu,pass123,TEACHER
13,srinivasan.physics@college.edu,pass123,TEACHER
14,suresh.aids@college.edu,pass123,TEACHER
15,swetha.cse@college.edu,pass123,TEACHER
16,ajay.cse1@gmail.com,pass123,STUDENT
17,anitha.cse2@gmail.com,pass123,STUDENT
18,aravind.aiml5@gmail.com,pass123,STUDENT
19,arun.aids1@gmail.com,pass123,STUDENT
20,dinesh.cse5@gmail.com,pass123,STUDENT
21,divya.aids2@gmail.com,pass123,STUDENT
22,harish.aiml3@gmail.com,pass123,STUDENT
23,karthik.aids3@gmail.com,pass123,STUDENT
24,keerthi.aiml4@gmail.com,pass123,STUDENT
25,lavanya.cse4@gmail.com,pass123,STUDENT
26,meena.aids4@gmail.com,pass123,STUDENT
27,monika.cse8@gmail.com,pass123,STUDENT
28,naveen.aiml1@gmail.com,pass123,STUDENT
29,pavithra.aiml6@gmail.com,pass123,STUDENT
30,priya.aiml2@gmail.com,pass123,STUDENT
31,rahul.aids5@gmail.com,pass123,STUDENT
32,sanjay.aiml7@gmail.com,pass123,STUDENT
33,sneha.aids6@gmail.com,pass123,STUDENT
34,surya.cse3@gmail.com,pass123,STUDENT
35,vikram.aids7@gmail.com,pass123,STUDENT
